BLK
BARAX
BSCFX
BIOPX
BFGFX
BREFX
BEXFX
BENFX
BGRFX
BPTRX
ALV
T
BLT
CTL
COP
FCX
GE
GSK
HAL
IP
KMI
MET
ORAN
PFE
PRU
RTN
RDS.A
SREN
TELNY
TTA
VYM
VZ
WMT
AGU
VLO
ETP
DE
C-G
WM
MO
AMGN
AAPL
BMY
GIS
GILD
JPM
MA
PM
UPS
WFC
AABA
V
AAP
GOOG
GOOGL
AMZN
AWK
AMP
AME
BA
BWA
EAT
BRCM
CELG
CVX
CSCO
CTSH
CMCSA
CAG
COST
CCI
DBEZ
DBJP
DFS
DIS
ECL
EOG
ESRX
EXR
HCA
HD
INTU
AEDYX
JAH
JNJ
KR
LB
MCK
MJN
MDVN
MRK
MSFT
NEE
NKE
NSC
NXPI
PH
PEP
PG
RAD
ROP
CRM
SLB
SEE
SHPG
SJM
TMUS
KHC
TMO
TJX
FOX
VFC
WWAV
JHYIX
ACN
APC
ANTM
DKS
EXPE
EPP
LYB
MON
EAPEX
PXD
RBC
SCHW
HOT
CFN
EBAY
NPSP
PANW
VMW
AXP
BNS
BRK.A
CAT
ICAXX
IBM
MS
OXY
RY
TD
TM
BAC
BP
COF
KO
HSY
FNMA
K
MCD
PSX
RAI
SNY
TCA-Y
TRP
UNH
WBK
ECTX
XOM
FMIHX
JLPSX
NMULX
POSKX
SPY
BRMIX
JMVSX
APDKX
HDEF
DODFX
EFA
VGK
BIAJX
JEITX
JTFXX
JITAX
JIMIX
BHYIX
DBLTX
PDBZX
VFIDX
EAGMX
EQIPX
GSZIX
GARIX
MIPTX
ARVIX
APINX
F
GS
